docID,Source,length,text
1,Twitter,29,Hambalyo madaxweyne.alle caafimaad taam ah haku siiyo caawa waan jecleen in aan muqaada aragno lkn adigoo tixgalinaayo xeerarka caafimaad iyo badqabka shacabkaada waad ku mahadsan tahay talaabadaa qaaday guuleyso
2,Twitter,41,Waxan hambalyada xuska sannad guurada 62-aad ee maalinta xoriyadda 26 Juun u dirayaa shacabka Soomaaliyeed meel kasta oo ay ku suganyihiin.Waxan ku boorrinayaa shacabka Soomaaliyeed inaan si wadajir ah ugu istaagno dadkeenna la tacaalaya duruufaha nololeed ee ka dhashay abaaraha.
3,Twitter,39,Waxaan Guddiga Isku dhafka ah ee Doorashada Madaxweynaha si rasmi ah uga guddoomay shahaadada musharaxnimo ee madaxweynaha JFS. Kalsooni weyn ayaan ku qabaa in Baarlamaanka JFS ay dalka u doorayaan hoggaan la hubo oo ku tilmaaman ilaalinta ammaanada & qarannimada dalkeenna.
4,Twitter,42,"Guud ahaan shacabka Soomaaliyeed waxaan ugu hambalyaynayaa Munaasabadda 26-ka Juun ee Xornimada Gobollada Woqooyi. Sidoo kale waxaan Shacabkeenna ka codsanayaa inay weyneeyaan Toddobaadka Xorriyadda oo caawa inoo bilowday, si aynu kor ugu qaadno wacyiga waddaniyadeed ee bulshada."
5,Twitter,36,"Waxaan shacabka Soomaaliyeed la qayb sanayaa farxadda dabbaal-degga munaasabadda 62 guurada ka soo wareegtay maalintii Gobollada Koonfureed ee dalkeennu ay xorriyadda ka qaateen gumaystihii,isla markaana ay midoobeen labadii gobol ee Koonfur iyo Woqooyi."
6,Twitter,43,"Guud ahaan muslimiinta calaamka, gaar ahaan ummadda Soomaaliyeed meel walba oo ay joogaan, waxaan ugu hambalyaynayaa munaasabadda Ciidul Adxaa, oo ka mid ah maalmaha qiimaha badan ee ku jira bishan Carafo oo muslimiintu ay gutaan waajibaadka xajka, muujiyaanna midnimadooda"
7,Twitter,42,"Bilashada bishan barakaysan ee Ramadaan awgeed, waxaan hambalyo qiimo badan u dirayaa shacabka Soomaaliyeed meel kasta oo ay joogaan iyo dhammaan muslimiinta adduunka. Ilaahay, fadliga bishan awgeed, hanooga yeelo dalkeenna mid barwaaqo, nabad iyo horumar ku tallaabsada."
8,Whatsapp,6,Waa la xalinaa halnar isoo wada sheeg
9,Whatsapp,23,Eng beri maadaama hawshii gabo-gabo tahay inaan halka saac inaan Beerta joogno ayaan rabay  si aan Ardaydii u agaasino insha allah.
10,Whatsapp,25,"Dhib maleh, way sii hagaajin laheed paper-ka, waase ok haddaanaan ka gaari karin, Journal article-ka ayaan samayn doonaa"
11,Whatsapp,58,"Asc Shafici, waa goor dambe ayaan filaa dhankayga, tusaalihii aan saakay ka wada hadalnay waan kaa sugaayey, malaha waad hilmaamay. Tankale oon ku weydiin rabay wax weeyaan arintii Somali News annotation-ka waqt ma u helin kartaa, waan dareemi karaa in waqt yarana ku haysa paper-ka howsheeduna waqti fiican kaa rabto."
12,Whatsapp,9,45 waxaad u baahan tahay inaad Path ka diyaarsatid
13,Whatsapp,10,ee hada cabirka ad rabtaan ii sheeg aan ka dhigee
14,Whatsapp,6,Ok waaye ilaa hada sxb Shukran
15,Whatsapp,4,intaas qof u diyaari
16,Whatsapp,43,"Warqadii aan halka page la ekaysiinay wataa scroll-ka yeelatay. Waxyaaba saas oo kale ah oo dib usoo laabtay ayaa jiro iyo meela aanan wali progress laga samaynin, marka inaan intaas yarta ah ee aan haysanno dhuudhuujinno lee waaye."
17,Whatsapp,9,Wixii diyaar ah dadka hasii qaadaane Ahmed la wadaag.
18,Whatsapp,8,markaa ayadii dhameed gab ayaad ka dhahday miyaa
19,Whatsapp,3,sxb Aad Ayuu kuu Anfacaa
20,Whatsapp,12,Hadii aad transport haysatid isisii dabar waa kusoo gaari doonaa insha allah.
21,Whatsapp,19,Dhamaan Engr-da waxaan ogaysiinaynaa in Shift-gii Bishaan aan lasoo dhajin maadaama Ramadaan ay qayb ka galayso.
22,Whatsapp,9,Wixii diyaar ah dadka hasii qaadaane Ahmed la wadaag.
23,Whatsapp,10,Marka aad maqantahay in aan iskaaga shaqaysto ayaa rabaa engre
24,Whatsapp,13,Waxaa kaa dareemooyaa inaa 8 daba ku jirtid wajigaaga markaa  eedo cabsi cabsi la dareemooyaahs
25,Whatsapp,6,Bal waayahay waxba hasoo raacin iska hayso
26,Whatsapp,12,Dr hadii maanta aad jaanis heli karto aniga dhankayga waa Ok.
27,Whatsapp,27,hawshaan Bashir ayay quseysaa Eng sidaas ogaw wixii cilad ah oo system-ku u istaagaayo ka xali markuu kulasoo hadlo laakin wixii kale Bashir u dir.
28,Whatsapp,11,Yarkaas wac Shafici ayaa isoo direy ee issue ga isheeg dheh
29,Whatsapp,25,Ciladaan ay hada so sheegaan ku darso sida ay tahay iyo cida leh cilada bari wey noola imaanaayaan waayo daraad anigaa iska buusay badanaa ciladaha
30,Whatsapp,17,Maadaama Berri oo Khamiis ah aan balansanahay kulankeenii kale hadii aan halkaas u wareejino kwrn sxb?
